user_id,age,gender,country,signup_date
1,56,Female,Germany,2026-01-31 14:53:27.315108
2,46,Female,Canada,2026-02-03 14:53:27.315135
3,32,Male,Germany,2025-06-21 14:53:27.315139
4,25,Female,Canada,2025-11-30 14:53:27.315141
5,38,Female,USA,2025-03-11 14:53:27.315142
6,56,Male,Germany,2025-09-13 14:53:27.315145
7,36,Male,UK,2025-07-01 14:53:27.315147
8,40,Female,Germany,2025-11-04 14:53:27.315150
9,28,Female,UK,2026-01-29 14:53:27.315158
10,28,Male,UK,2025-04-16 14:53:27.315164
11,41,Male,USA,2025-06-09 14:53:27.315166
12,53,Female,Canada,2025-08-15 14:53:27.315167
13,57,Female,Canada,2025-04-13 14:53:27.315168
14,41,Male,UK,2025-08-15 14:53:27.315169
15,20,Female,Canada,2025-08-28 14:53:27.315170
16,39,Female,Germany,2025-12-01 14:53:27.315171
17,19,Male,UK,2025-03-24 14:53:27.315173
18,41,Female,UK,2025-03-29 14:53:27.315174
19,47,Female,India,2025-11-24 14:53:27.315175
20,55,Male,Germany,2025-03-20 14:53:27.315176
21,19,Female,Canada,2025-08-20 14:53:27.315178
22,38,Female,Canada,2025-05-24 14:53:27.315179
23,50,Male,India,2025-03-26 14:53:27.315180
24,29,Male,Germany,2025-10-26 14:53:27.315181
25,39,Male,USA,2025-12-15 14:53:27.315182
26,42,Female,USA,2025-05-01 14:53:27.315184
27,44,Female,Germany,2025-06-25 14:53:27.315185
28,59,Female,Canada,2025-11-28 14:53:27.315187
29,45,Female,Australia,2025-03-19 14:53:27.315188
30,33,Male,USA,2025-11-18 14:53:27.315189
31,32,Male,Australia,2025-11-30 14:53:27.315190
32,20,Male,Australia,2026-02-06 14:53:27.315191
33,54,Female,USA,2025-03-09 14:53:27.315192
34,24,Male,Canada,2025-06-10 14:53:27.315194
35,38,Female,Germany,2026-01-11 14:53:27.315195
36,26,Female,India,2026-02-01 14:53:27.315197
37,56,Female,Germany,2025-07-16 14:53:27.315198
38,35,Male,India,2025-04-13 14:53:27.315199
39,21,Female,Australia,2025-07-26 14:53:27.315200
40,42,Female,Australia,2025-07-02 14:53:27.315202
41,31,Male,Germany,2025-06-13 14:53:27.315203
42,26,Male,USA,2025-03-18 14:53:27.315204
43,43,Female,Australia,2025-09-02 14:53:27.315205
44,19,Female,UK,2025-05-13 14:53:27.315206
45,37,Female,UK,2026-02-05 14:53:27.315208
46,45,Male,Canada,2026-02-15 14:53:27.315209
47,24,Male,Germany,2026-01-06 14:53:27.315210
48,25,Male,Germany,2025-07-17 14:53:27.315211
49,52,Male,Canada,2025-05-21 14:53:27.315212
50,31,Male,Canada,2025-08-20 14:53:27.315213
51,34,Female,India,2025-11-17 14:53:27.315215
52,53,Female,India,2025-10-06 14:53:27.315216
53,57,Female,UK,2025-06-11 14:53:27.315217
54,21,Female,USA,2025-12-21 14:53:27.315218
55,19,Male,Germany,2025-04-12 14:53:27.315219
56,23,Male,UK,2026-02-01 14:53:27.315221
